flex	2.6.4-24.fc44	x86_64	User	fedora
fontforge	20251009-2.fc44	x86_64	User	fedora
fonts-rpm-macros	1:5.0.0-2.fc44	noarch	User	fedora
fonttools	4.62.1-1.fc44	x86_64	User	updates
fpaste	0.5.0.0-4.fc44	noarch	Group	<unknown>
fprintd-pam	1.94.5-5.fc44	x86_64	Group	<unknown>
freeglut-devel	3.8.0-2.fc44	x86_64	User	fedora
freetype-devel	2.14.3-1.fc44	i686	User	updates
fuse	2.9.9-25.fc44	x86_64	User	<unknown>
fwupd	2.1.7-1.fc44	x86_64	Group	updates
gcc	16.2.1-2.fc44	x86_64	User	updates
gcm-core	2.9.1-1.fc44	x86_64	User	terra
gd	2.3.3-21.fc44	i686	External User	<unknown>
ghostscript	10.06.0-2.fc44	x86_64	Group	<unknown>
giflib-devel	6.1.3-2.fc44	x86_64	User	updates
git	2.55.0-1.fc44	x86_64	User	updates
git-credential-libsecret	2.55.0-1.fc44	x86_64	User	updates
glibc	2.43-8.fc44	i686	Group	updates
glibc	2.43-8.fc44	x86_64	Group	updates
glibc-all-langpacks	2.43-8.fc44	x86_64	Group	updates
glibc-devel	2.43-8.fc44	i686	User	updates
glibmm2.68	2.88.1-1.fc44	x86_64	External User	updates
glslang	16.2.0-1.fc44	x86_64	User	fedora
gnome-keyring	50.0-1.fc44	x86_64	User	fedora
gnome-network-displays	0.97.0-3.fc44	x86_64	User	fedora
gnupg2	2.4.9-16.fc44	x86_64	Group	updates
gnupg2-g13	2.4.9-16.fc44	x86_64	External User	updates
gnupg2-scdaemon	2.4.9-16.fc44	x86_64	External User	updates
gnupg2-utils	2.4.9-16.fc44	x86_64	External User	updates
gnupg2-wks	2.4.9-16.fc44	x86_64	External User	updates
go-l2tp	0.1.8-4.fc44	x86_64	External User	<unknown>
gobject-introspection-devel	1.86.0-3.fc44	x86_64	User	<unknown>
golang-github-jesseduffield-lazygit	0.64.1-1.fc44	x86_64	User	terra
